"","fare_amount","tip_amount"
"7711158",4,1.2
"2432854",9,1.5
"2400718",22,4.66
"1447256",7,2.08
"1745549",56.5,0
"7883556",52,0
"7975427",4.5,0
"155302",10,2.7
"5831070",8.5,1.5
"4613167",5.5,1.5
"7778388",10.5,0
"7225129",8,0
"5865656",7,1.66
"4223151",8.5,1.86
"1447489",10.5,2.35
"906028",13.5,0
"8394724",22,5.82
"5571413",5,1.26
"6860825",11.5,0
"6225012",5,1.45
"4890782",6.5,0
"766038",13,2.76
"7749189",4,1.45
"4357732",52,0
"3742913",26.5,0
"8417769",16,0
"774065",52,11.71
"1712150",4.5,0
"3544469",5.5,1.36
"3888125",11.5,2.46
"1224074",8.5,0
"4126838",14,0
"5450103",7.5,1.85
"8213982",41.5,6
"1068346",11.5,0
"297391",33,6.86
"3291943",7.5,1.66
"776527",4.5,1.06
"6020295",15,0
"1868647",20,3.12
"5674152",0,0
"4940120",11,0
"1360635",6,0
"7532194",7.5,0
"2034614",7.5,1
"6477500",4.5,0
"7053132",56,12.51
"4860165",9,0
"904295",11,0
"6052964",12.5,0
"5992517",40,6.98
"1791607",6,1.46
"2095024",5,1.26
"3859866",6.5,1.55
"408064",9.5,1
"3003617",18.5,1.5
"2085171",4.5,1
"3378880",5,0
"267851",52,10.56
"3695216",11.5,0
"5641781",14,2.95
"7376447",37.5,8.81
"320395",4.5,1.16
"1995186",8,0
"2661247",20,0
"3248686",8.5,1.96
"3676005",19,2
"1386474",7.5,1.85
"4283831",32.5,10
"7256185",11,2
"7756671",5,0
"567532",12.5,1.2
"5696860",7,0
"477411",13,0
"2209922",15,3.95
"2576079",23.5,2.43
"4381600",5,0
"3095408",9.5,2
"2996973",12,2.55
"3899066",8,1.76
"8191275",5.5,1
"5037162",18,0
"2948357",31.5,3.28
"2081017",20.5,4.36
"4245017",23,0
"4129993",25.5,6.51
"6223540",12,2.56
"6943598",7,1.95
"997594",7.5,1.66
"4929372",12.5,0
"7389533",7,1.95
"5355140",9,1.5
"1247970",42,4
"2062673",14.5,3.15
"577506",25,5.26
"5536082",16,3.45
"967601",9.5,0
"7691015",40,9.31
"430842",8,1.2
"6829802",5.5,1.25
"7454098",10.5,2.46
"3769333",20.5,4.46
"592964",7,1.66
"6987209",34.5,7
"846377",36,10.76
"1141970",6,1.46
"7895706",3.5,0.85
"7489792",6,0
"6075770",35,8.51
"4973530",25,5.26
"27992",85,19.56
"1720805",4,0
"7815022",11,2
"7252150",13.5,2.7
"3471032",25.5,5
"7230252",9.5,1.62
"4593358",7,0
"6071440",7.5,1.86
"173619",10.5,0
"3421930",21.5,0
"3414823",11,2.2
"4874802",12.5,0
"6998654",13.5,0
"7857554",5.5,0
"1926674",6,1.35
"265254",6,1
"5111549",8.5,1.85
"6098505",18,3.96
"4136635",7,1.65
"6157322",4,1.05
"7098078",7.5,1.65
"6056569",18.5,0
"2335553",18,3.95
"7660075",5,0
"6139248",13,2.86
"7066836",14,3.7
"24643",33,0
"4480559",3.5,1.2
"2767610",9,0
"5541664",9.5,2.16
"4493178",16.5,0
"7788436",12.5,2.76
"8074422",13,3.7
"36401",5.5,1.55
"2175055",7.5,0
"1585157",52,14.64
"4868093",6,0
"4446972",11,2.45
"7490252",4,0
"5579178",22.5,0
"7668438",5,1.15
"753806",4.5,0.5
"8690506",5,1.58
"3807715",9,2.06
"5809573",25.5,5.36
"7295337",5.5,1
"2479679",6,1.36
"2111160",11,2.46
"4789294",4.5,1.06
"7595806",12.5,3.32
"1260509",14,2.22
"5389749",7.5,2.08
"1256202",7.5,2.49
"1058155",11,0
"8120355",19.5,4.15
"6651309",5.5,1.5
"6325665",27,5.56
"6447907",12.5,2
"6193304",5.5,1.36
"4227646",5,1
"6843110",7,1.56
"292073",4.5,1.15
"1890860",11,0
"4867827",11,0
"4425071",10,0
"1011123",9,0
"4747674",17,0
"440373",10,2.7
"4096182",6.5,1.55
"1748491",15,1
"6044491",13.5,3.05
"8523658",5.5,0
"2296818",4,0
"2901753",4.5,1.06
"8074155",10.5,1.5
"5404088",15,3.15
"5123472",6,1.7
"7879994",6.5,2.15
"7892038",7.5,0
"2283381",11,0
"3447810",12,0
"3362868",6.5,1.46
"8074160",6.5,1.66
"3092645",13.5,0
"4658054",6.5,1.46
"4111898",5.5,0
"6790288",8.5,0
"3107652",12,2.56
"4124797",13,2
"887849",31.5,6.56
"4594794",5.5,0
"6360040",15.5,0
"1087426",5.5,1
"6651226",6.5,1.46
"6938488",7,1.56
"2474300",5.5,0
"5791151",6,0
"1991553",8,0
"2222677",10.5,2
"71591",5.5,0
"6121186",17.5,0
"5852351",8,2.32
"8124666",15,0
"8654486",4.5,1.05
"5754349",4.5,1.25
"7420448",14,2.22
"4909711",19,0
"943979",4,0
"7674402",24,7.4
"7195859",52,6.31
"8112710",4.5,1
"5280991",12,2.56
"510126",20,0
"5758846",11.5,0
"5811081",6.5,2.3
"5316327",14,1.5
"3864658",6.5,2.3
"4713791",36.5,2
"8661592",16.5,0
"25372",6,0
"8508763",12,2.56
"1902933",25,0
"4198737",4,0
"5516214",7,0
"5622036",11.5,2.45
"8310218",12,2
"2681390",6,2.19
"6716366",9,2.06
"1008152",8.5,0
"6139534",9,0
"5199011",9.5,2.82
"1963858",50.5,11.61
"5998539",9,2.94
"7778242",7,1.75
"5670908",18,2
"8453996",8.5,1.96
"8163831",6,1
"7166006",5,0
"1920312",7,1
"8586146",30,0
"6145687",17.5,5.6
"5986608",14.5,3.06
"2583404",5.5,1.58
"3368286",8,0
"3177844",4.5,1
"5200693",5.5,1.02
"3962595",6,0
"4726530",4,1.05
"4124230",8.5,1.95
"2725936",36,0
"7927798",10,0
"6303138",11.5,0
"7759206",6.5,1.66
"7879179",12,3.2
"4665839",9,1.95
"1957066",17,0
"6911136",63,0
"3595464",11.5,2.46
"4311359",11.5,0
"8408597",11,2
"4785828",5.5,0
"391537",13,2
"1929198",10.5,0
"7165377",10,2.36
"5032054",4.5,1.06
"2947413",8.5,1.96
"86723",37,8.71
"6250604",3.5,0.85
"6336703",8,1.76
"3995528",6.5,0
"1616016",28,9
"3599614",19,3
"268351",11.5,0
"1798963",4,0
"8656212",9.5,0
"6525489",11,2.46
"4907678",10,2.16
"5032090",9,1.96
"5081773",15,0
"2394370",6,0.73
"2328026",7,1.76
"3284885",8.5,1.85
"4923095",3.5,0
"1098314",7.5,1.86
"4864516",12.5,0
"3991170",5.5,0
"7605596",40,0
"169363",9,0
"4898491",17.5,0
"554457",14,2.96
"1333019",7,1.25
"610741",6.5,1.56
"500054",11.5,2.46
"4068168",87.5,20
"1445798",31,6.45
"5916195",14,1.48
"1314717",10.5,2.26
"1416681",10,2
"3409628",9.5,0
"2591487",9,1.96
"755078",15,0
"3985207",10,2
"843863",17,1.78
"6578811",8.5,2.3
"2926288",10,0
"1793448",16,5.15
"4210365",5.5,0
"7632549",52,0
"7407270",8,2.2
"2925457",7,1.65
"6713167",9,0
"6572672",26,4
"5238582",4.5,0
"355581",5.5,1.35
"2260652",7,1.56
"4028386",21.5,2
"6016534",27.5,0
"3735415",9.5,0
"1454049",10,1
"6632061",6.5,0
"1341534",7.5,0
"8466397",5.5,0
"4904921",6.5,0
"853743",6,1.46
"1595024",11.5,0
"4614429",9.5,2.05
"4620269",7.5,2.08
"109282",5.5,1.25
"4341251",8.5,0
"7414406",6.5,0
"507028",13.5,2.86
"3916788",5.5,0
"6542940",7.5,1.65
"2631427",18.5,3.86
"6737342",4.5,0
"8073643",7,0
"7212185",5.5,0
"2099552",4,1
"1774719",3.5,0
"2836811",14.5,0
"8670115",6,0
"3737812",10.5,0
"3790011",9.5,0
"1842096",13,0
"6555911",10,2.15
"2401312",6,1
"8001150",7,0
"3612576",19,5.9
"1785746",9.5,2.16
"3397405",33,3.38
"8042946",35.5,0
"3623974",16,3.36
"6532812",15.5,3.36
"1664572",10.5,0
"7896517",5.5,0.95
"3265463",10.5,0
"2389342",39,11.5
"2910691",5,1.15
"3743679",21,4.56
"6125788",6.5,1
"8136069",10,2.82
"3443912",5.5,1
"3563240",13.5,2.86
"8134309",4.5,0
"6525020",8,0
"3635681",9.5,0
"183939",15.5,4.32
"5291585",37,8
"4932722",14,3.82
"7464617",14.5,1.7
"2310129",8.5,2.06
"1287602",4.5,1.59
"4501682",5.5,1.25
"8009623",38,8.91
"2466313",22,4.66
"3240391",7.5,2.64
"1031142",14,2.95
"7655702",9.5,2.05
"6213136",24,3.3
"2809250",6,1.36
"1335542",7.5,0
"6053481",17,4.7
"1989691",15,3.36
"1363926",6,1.56
"1588339",10.5,2.26
"2805",7,1.66
"3804629",10,1.75
"510555",7.5,1.66
"2323431",5.5,1.46
"71335",5.5,1.26
"1890538",8.5,1.85
"6966521",5.5,0
"792250",5,0
"3980500",52,0
"8705602",7.5,0
"5996031",11.5,0
"6254224",15.5,3.26
"6835634",5.5,1.58
"3634252",34.5,6.9
"6148505",8,1
"6482619",19,4.05
"2788074",14,1
"5148644",7,0
"3253509",19,0
"445287",4,0.96
"4343813",8,1
"8532534",7,2.3
"5965041",9.5,0
"2747404",11,2.46
"8341173",9.5,0
"7009594",7,0
"3803634",7,1
"510192",8.5,1.85
"557609",12.5,1
"7268790",7.5,0
"2657232",52,4
"6964059",7,2.08
"3635774",20.5,5.3
"5324019",9.5,1.03
"4697799",8,1.4
"1725897",54,0
"6143927",9.5,2.16
"6069437",5.5,1.45
"5123588",10,2.7
"7223990",8.5,1.96
"3265295",7,1.56
"6350241",5,2.04
"6385267",7.5,0
"1081418",17,0
"5565023",12.5,2.76
"3221456",15,0
"4115795",12,2
"8049653",14,3.95
"371991",4.5,0
"1979069",6,0
"1600277",29.5,6.06
"4831655",52,10
"3150532",6.5,2.08
"2225304",7.5,1.24
"7626474",4.5,2
"5201316",21.5,4.55
"1565833",3.5,0.86
"6391891",20.5,4.45
"5993611",8,0
"2599340",52,11.71
"1151124",31.5,6.55
"8687032",11.5,2.56
"7903241",8,0
"3570140",5,1.16
"4829822",5,0.99
"890748",22.5,4.43
"3501604",8.5,2.25
"1582317",5.5,0
"7975460",17,3
"191364",10,0
"752656",12.5,2.66
"6950573",52,5
"2437380",9,1.54
"1348663",10,1
"7523236",4,1.59
"3160912",8.5,2.06
"4305066",52,0
"4730430",6.5,1.55
"8571515",6,1.35
"5811587",42,8.66
"3127733",4.5,0
"4027217",38.5,9.21
"4915329",13.5,0
"776395",9.5,0
"7310910",8.5,1.5
"2132766",5,1.7
"2178417",30,7.31
"3925447",17.5,2.74
"4780178",12.5,2
"1019072",12,2.56
"7112047",13,0
"1677499",12.5,0
"862460",8,1
"7049357",15,0
"3906116",7.5,1.65
"5418919",4,1.44
"5499299",16,3.45
"6545880",4.5,0
"1534363",14.5,1
"4637391",8.5,0
"336333",16.5,3
"6128945",10.5,1.18
"4376239",6,1
"1339116",10.5,0
"4455668",6,1.46
"3366173",5.5,0
"4733979",12,0
"1533255",17.5,3.66
"5334096",18,0
"7117643",7.5,0
"8297016",21.5,4.46
"6921983",6.5,0
"7833376",13,2.85
"266698",6.5,0
"2174078",14,0
"3782492",14.5,1.2
"2978152",6,0.75
"6296853",8,1.76
"5548518",6.5,1.17
"5491483",12.5,0
"3719272",52,0
"3291688",4,1.2
"5158051",12,0
"8127670",20.5,0
"7867149",8.5,1.96
"1605688",7,0
"4534212",11.5,0
"7788954",10,2.26
"7955335",4,0
"6914183",52,8
"527027",16.5,3.5
"6397931",11.5,0
"861412",4.5,1.16
"8398880",13.5,0
"6816997",67,16.56
"6953527",13,2.76
"3606416",26,5.35
"3087210",51,10
"1234033",3.5,1.08
"6453221",3.5,1
"7570912",4.5,0
"4466613",8,0
"6054078",15,0
"4492199",5,0
"5861351",23,1
"67595",7,2.34
"5262566",4.5,0
"7167117",39,11.64
"4815306",13.5,2.85
"913588",7,0.39
"6731807",12,0
"7646417",12.5,3.32
"2658141",13,0
"3453080",7.5,1.86
"4226987",15.5,3.26
"6326864",5,0
"6777398",6,1.46
"7864346",7.5,0
"5369524",4.5,0
"3651035",8.5,2
"8062314",52,8.94
"2894584",9.5,0
"2752380",5.5,1.36
"6449767",9.5,2.16
"7338378",7,1.56
"1189950",15.5,0
"5155433",9.5,2.26
"2654440",9.5,3.2
"705791",4.5,1.06
"2614761",21,4.36
"1853527",8,1.76
"2305091",11.5,0
"3513022",11,1
"1097935",3.5,0
"3654022",11,2.36
"4101941",7,0
"4669463",8.5,1.85
"5376849",5,1.16
"19262",4.5,0
"3248199",49,10.05
"5954402",8.5,2.3
"3868884",23,0
"223800",13,0
"1144385",8,1.86
"8549972",11.5,2.46
"3621755",4,1
"7288019",8.5,0
"253907",4,0
"2641274",8,1
"488279",23.5,4
"4865987",3.5,1.25
"8203138",3.5,0
"3288260",9,2.45
"2275185",8,0.5
"1908673",3,0
"7031018",41.5,9.61
"4314573",4,0
"2148044",4.5,1.05
"7537687",6.5,0
"8365062",8.5,2.05
"7655414",21,5.45
"2848641",5,1.45
"2280808",52,0
"3832991",5,1.26
"2141137",4,0
"5281603",8,0
"2045047",5,1.26
"8034280",10.5,2.46
"2889201",5.5,1.55
"4421756",7,1.49
"3531596",20.5,5.45
"6556618",9,1
"3603475",32.5,6.66
"4786343",9,3
"1999286",7,2.64
"8559065",7,1
"8144793",10.5,2.36
"4668304",10,0
"3275584",6,2.04
"1737223",18.5,0
"5686438",4.5,0
"7554725",19,3
"1416390",6.5,0
"921976",6.5,2.19
"1107594",5.5,1.7
"4073296",12.5,3.55
"3975876",5.5,0.63
"6209096",17,3.56
"1228496",22,4
"4880230",13,2.75
"2525469",9,1.47
"5413448",8,1.75
"2699971",6,1.82
"3731143",7,0
"7019032",19.5,0
"2012088",6,1.56
"2400306",11,2.46
"7544606",7.5,1.75
"3914659",10.5,0
"3016198",8.5,1.4
"90732",18.5,0
"5964761",10.5,1
"2765693",15.5,1
"644442",11,1
"8593602",9,1.96
"5825482",5.5,0
"222814",9,2.15
"5619751",10.5,2.26
"1574205",6,1.2
"5150129",8,1.95
"5229292",7,1.5
"2864008",3.5,1
"5443279",5,1.36
"7214939",26.3,0
"1775347",10.5,0
"4898537",14.5,0
"6425204",52,0
"6509887",9,2.06
"6445305",3.5,0
"576152",34,0
"6863540",4.5,1.06
"1615911",13.5,3.58
"8032896",35.5,0
"3016624",7.5,1.66
"4055425",8,1.96
"6409150",6.5,0
"7651800",13.5,0
"306692",5,0
"5859378",5,1.55
"744011",8,0
"7806269",9.5,1.62
"6761927",12.5,3.45
"6815583",3.5,0
"7014452",15.5,0
"115868",7,0
"2373188",5,1
"3618055",7.5,0
"2220607",11.5,2.45
"1859514",8,1.75
"5724949",10,2.36
"3053082",10,2
"6043957",12.5,3.58
"3003258",10,0
"4651762",16,3.36
"4833811",17,3.55
"7325883",9.5,2.58
"3093503",13.5,2.8
"4634582",7,0
"6204485",5.5,1.26
"7049672",26.5,1.5
"3816545",5.5,0
"5805312",15.5,3.36
"2491760",6,1.36
"7978647",17,3.55
"5546021",17,0
"1102008",11,0
"7170071",7,0
"5171916",4,1.45
"8394746",6.5,0
"1477847",5.5,0
"8261348",21,4.36
"5726717",4.5,1.58
"4974521",5,0.5
"3253697",5.5,1
"1465514",7,1
"938840",5.5,0
"3874897",52,10.56
"6636707",14.5,2.3
"8221783",18,3.76
"1339946",8.5,0
"5242484",22.5,4
"7112400",9.5,0
"6836298",7,1.56
"4551223",14,0
"7009589",52,14.6
"6026821",10,2.16
"3358282",4.5,0
"3555726",24,0
"2735107",15.5,3.35
"8109565",8,1.86
"2711612",17,3.66
"1688019",5.5,0
"4159905",26,0
"6524923",3,0
"3200899",9.5,0
"6033944",8.5,2
"7230373",28.5,5.95
"3975055",11.5,0
"7605328",8,2.2
"5127370",10,2.35
"7828546",8.5,0
"7250478",5.5,0
"5449753",9.5,1.5
"6780857",9.5,2.15
"8032521",2.5,0
"1910820",10.5,0
"7105936",7.5,0
"986389",22.5,4.65
"6646143",9.5,1
"210192",6.5,2
"2886460",13,0
"466793",8.5,1.86
"8342127",6,2.3
"5300388",14,0
"5640905",9.5,2.05
"7264693",8,1.86
"6947829",20,0
"8425658",10.5,1
"4397634",12,1
"7590019",9,0
"604454",12.5,0
"4520248",4,1.4
"944145",15.5,3.26
"8412167",6,0
"5748864",19.5,4.26
"5340072",21.5,0
"5687809",32,6.56
"2002410",16,2.67
"2287186",42,8.76
"5324663",5.5,1.58
"4817116",15,4
"777588",8.5,0
"2899066",7.5,0
"8442474",28.5,2.98
"2102967",6,1.2
"4266443",6.5,1.46
"1324657",24,0
"5335114",39,11.39
"6707874",12,0
"8004568",17,3.55
"6863204",8,0
"6209775",8,1.76
"6624487",16,2.52
"4271565",67,14
"4068849",18.5,0
"6965764",15.5,3.36
"1774129",14.5,3.95
"1065210",13,2.95
"8352828",8,2.45
"3108875",25,3
"6867997",15.5,2.5
"1197358",6.5,0
"3995319",5,1.16
"1271713",7,0
"6522863",12.5,2.5
"7764146",15.5,0
"2220446",13,2.76
"6249741",5,1
"4985174",32.5,0
"6236275",19.5,0
"6654279",30.5,7.82
"124347",11,2.36
"7300223",5.5,0
"5811104",16,3.45
"670733",6,1.1
"3258552",9,2.05
"7378969",7.5,1.66
"1341673",10.5,3.08
"8215175",10,2.16
"5150410",4.5,0
"241294",7,0
"6800547",9,2.06
"8429253",10,2.82
"8372653",8,1.96
"6050957",7,1.76
"11289",32.5,5
"6305049",3.5,0.86
"279735",13,0
"2268123",11,2.36
"7323901",11,2.36
"264046",8,0
"4177229",13,0
"4812413",20,4.15
"6104558",4,1
"6300689",9,1.95
"7906078",6,0.68
"2719604",7,1.5
"6241241",8,1.76
"4611923",6.5,1.46
"3650271",9.5,2.7
"7085623",7.5,1.25
"3811081",12,2
"5925929",71.5,5.88
"8441774",8,0
"4942633",7.5,0
"3910427",8.5,0
"2712578",8,0
"7235829",11,3.08
"1508317",11,2.36
"1647316",4.5,1.58
"2103880",24.5,5.16
"3133986",32.5,0
"5322734",8.5,1.85
"8369064",10.5,2
"639885",20,4.26
"8677931",4.5,0
"6286268",4.5,0
"643442",10.5,3.5
"7243689",5,1
"4027392",4.5,1
"215382",9.5,2.25
"2933872",8.5,0
"4010782",4.5,0
"3606679",44,12.64
"2308875",9.5,0
"7897731",14.5,3.8
"1917151",11,0
"228842",7.5,1.85
"7032396",8,1.76
"4095091",32,9.99
"3270394",4.5,1.06
"827269",13,1
"7774588",15.5,3.35
"7377669",5.5,1.25
"363911",13.5,2.96
"2880842",14.5,0
"1581840",9.5,2.58
"8179179",3,0
"1238455",18.5,3.86
"6383800",7,1.32
"2382788",15.5,0
"4257426",23.5,4.86
"4471969",9,0
"4493438",12.5,0
"299344",6,0
"6945037",6.5,0
"8536566",10.5,2
"1643906",52,6.31
"2845490",21.5,4.45
"2019171",4,0
"5523236",8,1.7
"2011477",30,6.35
"7328658",4.5,1.05
"5920483",52,14.6
"7072806",52,0
"4926813",12.5,3.25
"1015433",5.5,1.55
"4581230",5,1.16
"1675446",3.5,0
"3423934",5,1.36
"2611575",6.5,0
"1007510",52,7
"4217332",15,3.16
"7417264",5.5,1
"3573032",6.5,1.82
"6565261",19.5,3.5
"1819813",4.5,1.32
"7132294",10,0
"113316",23.5,4.85
"3827026",6.5,2.3
"5019070",13,0
"1620657",10,1.2
"8461171",11.5,2.56
"5418928",77.5,24.14
"8514461",5.5,1.26
"5707498",8.5,0
"4745892",9.5,0
"6340101",16,0
"2513865",8,1.76
"7116711",5.5,1.25
"7408744",6.5,1.82
"3141664",14,2.37
"3666707",46,0
"1407101",17,4.55
"5363143",23.5,0
"5053856",14.5,1.53
"7296481",7,1.95
"2640571",6.5,1.46
"7682296",8,1.76
"5504497",23,7.29
"58363",4.5,0.79
"6914334",59,17.94
"3201162",37.5,11.14
"5083653",11.5,2.46
"8433121",24,7.59
"5668009",9.5,2.58
"5042090",52,11.7
"4215117",4.5,0
"3523358",12.5,0
"2110231",14.5,3.16
"7797959",52,0
"6091606",5.5,0
"7825602",24.5,5.15
"5446329",8,0
"5886209",22.5,5.95
"7207968",11,2.56
"8018371",10,0
"7900250",21.5,4.45
"3009721",7.5,1.65
"259919",6.5,1.95
"8281406",8.5,0
"2129021",13,2.85
"7550414",12,2.5
"659618",14.5,2
"1773258",41.5,5
"2006834",8,0
"3293712",9,0
"7943884",8.5,1
"4610426",19.5,0
"664489",9,2.06
"3938403",16,3.5
"193888",44,0
"1719615",10,2.26
"1087937",15.5,4.3
"4202294",11.5,1.85
"1481685",5.5,1
"4332516",5.5,0
"2311414",6.5,1.66
"1023524",11.5,2.46
"1183867",2.5,47
"8630561",5.5,0
"1693665",10,2.36
"1262788",5.5,0.95
"7359503",14.5,2
"6082669",16.5,0
"1603187",6.5,1.46
"921265",5.5,1.26
"6444062",10,0
"5681269",8.5,0
"4709206",10.5,0
"1938221",15,3.15
"4558439",9.5,2.06
"6136600",7.5,1.76
"99771",27,0
"4774113",5.5,1
"3321100",13.5,3
"3776017",31.5,9.76
"5441625",15,4.2
"6373913",6,1.56
"3845607",7,1.66
"5171490",5,2
"7975015",6,1.36
"6473374",5,1.25
"1142319",3.5,0
"3278346",6.5,2.19
"6311557",6,1.7
"8371193",15,3.35
"1857130",7,0
"4332959",29.5,9.26
"30551",8,1.76
"3678953",32,6.6
"5586809",6.5,1.46
"1725528",5,0
"8292665",13,2.76
"563624",15,3.15
"7510745",10.5,1.18
"855924",18.5,0
"825912",11,1.18
"2412764",5,0.5
"1525076",9.5,0
"5348151",7.5,0
"2294390",12.5,2.15
"7029628",18,0
"1885045",5,0
"4843049",9,1.96
"4153402",12.5,2.76
"2900073",52,0
"676491",9,0
"3657060",4.5,1.06
"1653286",13,2.95
"324654",140,18
"5913310",16,3.2
"7776775",11,1
"2398214",7.5,0
"7875834",6.5,0
"5818534",3.5,0
"4711714",7,4
"7727069",11,0
"3790948",6,1.45
"5101865",52,14.64
"2811491",5.5,1.26
"501254",10.5,2.26
"5068198",9,2.45
"6570829",5,1.15
"7131919",6.5,1
"7117458",52,8
"2057615",19,0
"3828282",37,7
"4987115",52,14.64
"4975772",9.5,5
"86530",8.5,1.86
"5607601",2.5,0
"695387",5,1.16
"2290310",7,1.75
"1185723",52,11.71
"3220090",22.5,7.35
"393039",11,2.36
"2859021",14,0
"8361849",6,0
"4921098",7,1.56
"667760",11,3.08
"4213526",14.5,3.06
"5037594",15,2
"5209094",5.5,1
"5687731",14,2.96
"8452791",18.5,1
"1773568",6,0
"137068",17.5,3.66
"8613707",12.5,0
"4813268",5.5,1
"2291212",10.5,2.46
"5798552",24.5,5.16
"1463517",6.5,0
"5622658",7,1.01
"5394373",11,2.95
"4081414",13,3.7
"6895882",5,0
"4162803",9,2.06
"4078848",4.5,1
"3651626",7.5,0
"6547352",10,5.2
"3995507",6.5,1.45
"3886772",12.5,0
"8157649",6.5,0
"7928431",9,1.96
"6504068",13,2.85
"64504",8,1
"6806629",7,1.66
"6676564",20.5,0
"1452805",5,0.94
"6083113",8.5,1
"2005949",19,4.16
"1942373",16.5,1
"5513216",20,4.26
"5587245",6.5,0
"5237002",14,3.05
"246886",6,0
"1005521",7,1.56
"5516491",8,0
"5443881",19.5,2.13
"4639818",8.5,2
"3931152",13.5,2.86
"6347235",32,8.45
"4874375",6.5,0
"6645724",8,0
"1153691",4.5,1.74
"6965286",8.5,1.96
"4600807",35.5,0
"7540717",2.5,0
"6376184",15,3.36
"5800190",6,0
"6842351",4,0
"4329103",10,2.35
"4058702",30.5,10
"4114728",6.5,0
"2472611",6.5,0
"175107",12.5,2.66
"3788555",5.5,1.7
"5801489",11,0
"1634004",18.5,5.79
"4924380",6,1
"3368423",16.5,1.73
"8256900",8.5,1.7
"5681451",7,0
"5369446",21.5,0
"6380458",14.5,0
"7729631",9,2.16
"1430025",18,3.85
"7238241",4.5,1
"7650034",11,0
"3560990",7.5,1.66
"8012492",11.5,0
"4940868",11.5,1.2
"300495",9.5,2.16
"5281771",33.5,12
"3863373",7.5,0
"3629875",14.5,3.06
"3135848",19,4.16
"1375342",9,2.16
"7249157",14,0
"1860575",4.5,0.75
"7324183",12.5,0
"4868257",3.5,1.29
"2888279",19,3.95
"397176",18.5,0
"7671072",6,1.35
"4207630",5,0
"7496753",5,1.25
"7203944",3.5,1
"5299417",7.5,1.66
"1475975",3.5,0.96
"1141232",7.5,0
"1927233",29.5,6.05
"340440",34.5,8.31
"8640544",34.5,7.06
"5042842",9,1
"338244",7.5,1.76
"5579573",10.5,0
"3022346",6,1.02
"1951970",16.5,0
"7968863",6,1.36
"4747735",5,0
"4628886",12.5,0
"2105629",4,1.55
"1866144",6.5,0
"999187",11.5,0
"8442805",52,5
"4964524",52,0
"5175451",9,0
"5711836",7,1.55
"1435889",9,1.03
"1951354",9.5,2.05
"7530918",35.5,8.51
"6073909",38.5,0
"423790",15.5,3.25
"3003996",3.5,0
"6792628",10,1
"3329041",6.5,1
"3846086",8.5,1.96
"1833566",6,0
"6879760",6.5,2.19
"984547",52,11.71
"5179678",22,4.75
"2507922",9,0
"5587187",5,0
"2132530",13.5,0
"8387372",28,5.86
"314345",9,2.06
"4836418",5.5,2
"127016",19.5,3
"2921280",13,2.07
"4040778",12,0
"4536233",16.5,0
"7892484",4.5,1.06
"6262037",12.5,0
"1662292",11.5,0
"7103552",52,0
"8027474",38,0
"5873874",3.5,1
"2991910",4,0.95
"4747095",28.5,0
"8661030",6,1
"3473312",3.5,0.96
"7381412",4.5,0
"6028760",6,1.35
"4243938",5.5,1.26
"6449935",6.5,1.56
"5579834",10.5,2.82
"3434291",4.5,1
"5943786",28.5,0
"5618183",38,0
"4416840",12,2.65
"6996313",52,14.6
"758969",21.5,4.45
"2264510",5.5,1.26
"3699592",13.5,2.85
"5528240",19.5,4.16
"7712301",7,1.95
"2581214",12.5,2.65
"7239651",10,2.26
"4239475",30.5,3
"5180820",4.5,1.25
"2141949",15.5,3.26
"3081593",8,2.6
"2512537",13,2.76
"376747",12,2.56
"2096708",8,2.75
"8287813",16,3.36
"1420601",12,2.66
"2612389",8,0
"4078481",12.5,2.85
"3711244",5,0
"323347",5.5,0
"5210916",8.5,0
"8097163",13,3.58
"6514787",6.5,1.56
"1536892",4.5,1.05
"2651985",5,1.74
"2292636",7,2.6
"4629614",7.5,1.65
"3702884",6,0.68
"789951",7,1.56
"1225974",41,9.51
"5744061",16,0
"8212708",11,1
"8183560",12,0
"6924571",4.5,1.5
"5374375",28.5,0
"6153138",8.5,0
"4801392",15,3.16
"809796",4,0.96
"5652335",27,6.95
"8032026",17.5,0
"4476243",27.5,0
"3136026",5.5,1.8
"2525431",11.5,2.46
"3411940",7,0.88
"7820555",6,0
"4411049",8,2.32
"8167408",5.5,0.68
"6602201",6,1.36
"5707219",7,0
"6920363",22.5,4.66
"3654091",6,1.36
"3431135",32.5,6.75
"5950811",11.5,0
"1335973",13,0
"816077",18.5,4.82
"1700",23.8,2
"4419376",26.5,3.2
"3512772",16.5,3.55
"846969",13.5,2.96
"3099762",9,0.98
"2125664",4,0
"3199772",6,1.46
"7789039",9,2.05
"6909894",11,0
"2810781",12,0
"7418739",48,9.76
"7908050",11,0
"4682820",23,0
"2263016",19.5,0
"175666",13.5,2.08
"5280278",10,0
"6510964",8.5,1.96
"261164",10,0
"6441523",9,1.5
"960636",9,0
"5909616",3.5,0
"6196266",5,1.58
"8662506",5,1.89
"5257508",16,2.6
"1150837",11,2.45
"3637241",7.5,0
"8416888",7.5,0
"3228771",7,0
"2130182",13,0.72
"7473267",11.5,0
"8607677",12,0
"6435213",9.5,2.15
"4088676",4.5,1.25
"6421580",13.5,2.95
"2634634",10,0
"2916989",4.5,0.7
"5249421",8,1
"4208521",7,1.56
"2541839",6,0
"8070018",12.5,2.85
"5449909",4,0
"686216",13,3.45
